##adx
1:adx=11|:0.0663885255077822:0.0663885255077822:1
1:adx=13|:0.0119041276154249:0.0119041276154249:1
1:adx=1|:0.0504089581661059:0.0504089581661059:1
1:adx=3|:0.827282149424516:0.827282149424516:1
1:adx=9|:0.0440162392861710:0.0440162392861710:1
##DeviceType
1:DeviceType=1|:0.803136529500834:0.803136529500834:1
1:DeviceType=0|:0.228072627260294:0.228072627260294:1
1:DeviceType=3|:0.00638119106382507:0.00638119106382507:1
1:DeviceType=2|:0.194225360179159:0.194225360179159:1
##ConnectionType
1:ConnectionType=1|:0.197449817667228:0.197449817667228:1
1:ConnectionType=3|:0.725221908452783:0.725221908452783:1
1:ConnectionType=2|:0.0119982244180870:0.0119982244180870:1
1:ConnectionType=4|:0.0000145330776230487:0.0000145330776230487:1
##OS
1:OS=11|:0.00503826357457986:0.00503826357457986:1
1:OS=13|:0.0825774632250335:0.0825774632250335:1
1:OS=12|:0.0359640448218467:0.0359640448218467:1
1:OS=14|:0.383091187445697:0.383091187445697:1
1:OS=33|:0.00117833321612431:0.00117833321612431:1
1:OS=32|:0.0465668483201959:0.0465668483201959:1
1:OS=31|:0.000147886395563096:0.000147886395563096:1
1:OS=34|:0.407701432269785:0.407701432269785:1
1:OS=1|:0.463311257011077:0.463311257011077:1
1:OS=2|:0.00528116899809387:0.00528116899809387:1
##CarrierName
1:CarrierName=151|:0.00268404952748973:0.00268404952748973:1
1:CarrierName=150|:0.00266467132596141:0.00266467132596141:1
1:CarrierName=198|:0.0105725696498892:0.0105725696498892:1
1:CarrierName=258|:0.00419500554671482:0.00419500554671482:1
1:CarrierName=278|:0.0000187129146284465:0.0000187129146284465:1
1:CarrierName=399|:0.000123800715695000:0.000123800715695000:1
1:CarrierName=257|:0.00208993685544095:0.00208993685544095:1
1:CarrierName=255|:0.00241915063670308:0.00241915063670308:1
1:CarrierName=47|:0.178621276175584:0.178621276175584:1
1:CarrierName=45|:0.325148391956255:0.325148391956255:1
1:CarrierName=43|:0.0907444862082757:0.0907444862082757:1
1:CarrierName=0|:0.312976702008351:0.312976702008351:1
1:CarrierName=180|:0.0152891348910827:0.0152891348910827:1
1:CarrierName=401|:0.00113283906263691:0.00113283906263691:1
1:CarrierName=400|:0.00136073194314142:0.00136073194314142:1
1:CarrierName=280|:0.00146437446577032:0.00146437446577032:1
1:CarrierName=147|:0.00383872835318448:0.00383872835318448:1
1:CarrierName=205|:0.00201297004340412:0.00201297004340412:1
1:CarrierName=143|:0.000211964994484485:0.000211964994484485:1
1:CarrierName=207|:0.00209331834816650:0.00209331834816650:1
1:CarrierName=206|:0.00140367965366724:0.00140367965366724:1
1:CarrierName=149|:0.0147338795621719:0.0147338795621719:1
1:CarrierName=247|:0.00115294219747681:0.00115294219747681:1
1:CarrierName=246|:0.000609898324317797:0.000609898324317797:1
1:CarrierName=229|:0.0000941128613114367:0.0000941128613114367:1
1:CarrierName=164|:0.0140500518046291:0.0140500518046291:1
1:CarrierName=249|:0.000767594260514857:0.000767594260514857:1
##Categorys
1:Categorys=24|:0.000532926924095456:0.000532926924095456:1
1:Categorys=25|:0.000419254627927806:0.000419254627927806:1
1:Categorys=26|:0.000150593425017745:0.000150593425017745:1
1:Categorys=27|:0.0248405900897510:0.0248405900897510:1
1:Categorys=20|:0.0000776435694004869:0.0000776435694004869:1
1:Categorys=21|:0.00624900085091342:0.00624900085091342:1
1:Categorys=22|:0.000312198495274737:0.000312198495274737:1
1:Categorys=23|:0.0136214097491349:0.0136214097491349:1
1:Categorys=28|:0.0146113314211229:0.0146113314211229:1
1:Categorys=29|:0.00273683430776261:0.00273683430776261:1
1:Categorys=0|:0.586691054860900:0.586691054860900:1
1:Categorys=4|:0.00234637054394993:0.00234637054394993:1
1:Categorys=8|:0.135430040821201:0.135430040821201:1
1:Categorys=59|:0.0136534008726477:0.0136534008726477:1
1:Categorys=58|:0.00655122921906112:0.00655122921906112:1
1:Categorys=55|:0.0436799436405644:0.0436799436405644:1
1:Categorys=54|:0.00264140234311523:0.00264140234311523:1
1:Categorys=57|:0.00910207683873284:0.00910207683873284:1
1:Categorys=56|:0.000429208696405534:0.000429208696405534:1
1:Categorys=51|:0.0233831162549973:0.0233831162549973:1
1:Categorys=50|:0.00947901921982883:0.00947901921982883:1
1:Categorys=53|:0.00468841213486517:0.00468841213486517:1
1:Categorys=52|:0.0106598162915754:0.0106598162915754:1
1:Categorys=3|:0.000304561460482767:0.000304561460482767:1
1:Categorys=7|:0.00131875692794506:0.00131875692794506:1
1:Categorys=106|:0.213600382094913:0.213600382094913:1
1:Categorys=107|:0.309742802034489:0.309742802034489:1
1:Categorys=105|:0.00151786812070548:0.00151786812070548:1
1:Categorys=39|:0.167483595774295:0.167483595774295:1
1:Categorys=38|:0.0783932238556328:0.0783932238556328:1
1:Categorys=33|:0.00815812649152591:0.00815812649152591:1
1:Categorys=32|:0.00355162264449868:0.00355162264449868:1
1:Categorys=31|:0.0377428545233309:0.0377428545233309:1
1:Categorys=30|:0.00215898675336930:0.00215898675336930:1
1:Categorys=37|:0.00299833564717441:0.00299833564717441:1
1:Categorys=36|:0.0718029560601058:0.0718029560601058:1
1:Categorys=35|:0.00405288650034578:0.00405288650034578:1
1:Categorys=34|:0.00271553136241019:0.00271553136241019:1
1:Categorys=60|:0.0465628565987967:0.0465628565987967:1
1:Categorys=61|:0.00558264949200241:0.00558264949200241:1
1:Categorys=62|:0.00122420589491681:0.00122420589491681:1
1:Categorys=63|:0.00169425173651065:0.00169425173651065:1
1:Categorys=64|:0.00968780460175049:0.00968780460175049:1
1:Categorys=65|:0.0400293974222404:0.0400293974222404:1
1:Categorys=66|:0.0000579189598656845:0.0000579189598656845:1
1:Categorys=67|:0.00268134938031336:0.00268134938031336:1
1:Categorys=68|:0.0688744686551396:0.0688744686551396:1
1:Categorys=69|:0.00610697356825470:0.00610697356825470:1
1:Categorys=2|:0.000870424674307364:0.000870424674307364:1
