##OS
1:OS=1|:0.307200:0.307200:1.000000
1:OS=2|:0.692800:0.692800:1.000000
##DeviceType
1:DeviceType=2|:0.225100:0.225100:1.000000
1:DeviceType=1|:0.774900:0.774900:1.000000
##Categorys
1:Categorys=17|:0.000300:0.000300:1.000000
1:Categorys=交通运输|:0.000300:0.000300:1.000000
1:Categorys=31|:0.033200:0.033200:1.000000
1:Categorys=53|:0.001300:0.001300:1.000000
1:Categorys=72|:0.000800:0.000800:1.000000
1:Categorys=健康与健身|:0.001500:0.001500:1.000000
1:Categorys=健康健美|:0.000400:0.000400:1.000000
1:Categorys=医疗|:0.000100:0.000100:1.000000
1:Categorys=51|:0.011900:0.011900:1.000000
1:Categorys=37|:0.000400:0.000400:1.000000
1:Categorys=商品指南|:0.000300:0.000300:1.000000
1:Categorys=36|:0.035400:0.035400:1.000000
1:Categorys=1|:0.001900:0.001900:1.000000
1:Categorys=56|:0.000300:0.000300:1.000000
1:Categorys=39|:0.098700:0.098700:1.000000
1:Categorys=13|:0.003300:0.003300:1.000000
1:Categorys=46|:0.000200:0.000200:1.000000
1:Categorys=55|:0.050000:0.050000:1.000000
1:Categorys=18|:0.028500:0.028500:1.000000
1:Categorys=摄影与录像|:0.015400:0.015400:1.000000
1:Categorys=50|:0.005100:0.005100:1.000000
1:Categorys=38|:0.006500:0.006500:1.000000
1:Categorys=47|:0.000100:0.000100:1.000000
1:Categorys=16|:0.000300:0.000300:1.000000
1:Categorys=25|:0.000100:0.000100:1.000000
1:Categorys=54|:0.000400:0.000400:1.000000
1:Categorys=41|:0.072300:0.072300:1.000000
1:Categorys=生活|:0.003600:0.003600:1.000000
1:Categorys=43|:0.001200:0.001200:1.000000
1:Categorys=益智和解谜游戏|:0.072800:0.072800:1.000000
1:Categorys=52|:0.010000:0.010000:1.000000
1:Categorys=30|:0.000900:0.000900:1.000000
1:Categorys=105|:0.000400:0.000400:1.000000
1:Categorys=街机和动作游戏|:0.005600:0.005600:1.000000
1:Categorys=40|:0.000100:0.000100:1.000000
1:Categorys=69|:0.006000:0.006000:1.000000
1:Categorys=4|:0.002100:0.002100:1.000000
1:Categorys=45|:0.013300:0.013300:1.000000
1:Categorys=15|:0.000900:0.000900:1.000000
##AppName
1:AppName=14764|:0.070900:0.070900:1.000000
1:AppName=37377|:0.055200:0.055200:1.000000
1:AppName=33424|:0.011800:0.011800:1.000000
1:AppName=44201|:0.011600:0.011600:1.000000
1:AppName=iOS7壁纸+|:0.010600:0.010600:1.000000
1:AppName=19870|:0.009000:0.009000:1.000000
1:AppName=铃声大全 for iOS7|:0.008600:0.008600:1.000000
1:AppName=消灭星星 PopStar! - 免费完整版|:0.008000:0.008000:1.000000
1:AppName=2120|:0.007200:0.007200:1.000000
1:AppName=5597|:0.006900:0.006900:1.000000
1:AppName=6020|:0.006800:0.006800:1.000000
1:AppName=34541|:0.006600:0.006600:1.000000
1:AppName=4698|:0.006200:0.006200:1.000000
1:AppName=2395|:0.006000:0.006000:1.000000
1:AppName=33161|:0.005400:0.005400:1.000000
1:AppName=48529|:0.005400:0.005400:1.000000
1:AppName=11386|:0.005000:0.005000:1.000000
1:AppName=8793|:0.004900:0.004900:1.000000
1:AppName=14246|:0.004200:0.004200:1.000000
1:AppName=2102|:0.003600:0.003600:1.000000
1:AppName=54530|:0.003500:0.003500:1.000000
1:AppName=22569|:0.003400:0.003400:1.000000
1:AppName=漫画大全(专业版)|:0.003400:0.003400:1.000000
1:AppName=Photo Grid -相片组合|:0.003400:0.003400:1.000000
1:AppName=17620|:0.003100:0.003100:1.000000
1:AppName=52642|:0.002800:0.002800:1.000000
1:AppName=2590|:0.002700:0.002700:1.000000
1:AppName=16517|:0.002600:0.002600:1.000000
1:AppName=54219|:0.002600:0.002600:1.000000
