##OS
1:OS=Android|:0.343908084461238:0.343908084461238:1
1:OS=iOS|:0.656091915538762:0.656091915538762:1
##DeviceType
1:DeviceType=Pad|:0.195422192808328:0.195422192808328:1
1:DeviceType=Phone|:0.804068604032731:0.804068604032731:1
##Categorys
1:Categorys=个性化|:0.000449453275705646:0.000449453275705646:1
1:Categorys=交通运输|:0.000414523747410537:0.000414523747410537:1
1:Categorys=休闲游戏|:0.0335906964353397:0.0335906964353397:1
1:Categorys=体育|:0.000143958058649975:0.000143958058649975:1
1:Categorys=体育游戏|:0.000764038173610618:0.000764038173610618:1
1:Categorys=健康与健身|:0.00139893904177995:0.00139893904177995:1
1:Categorys=健康健美|:0.000407768418561319:0.000407768418561319:1
1:Categorys=动漫|:0.00000704593185330970:0.00000704593185330970:1
1:Categorys=医疗|:0.000153890964609509:0.000153890964609509:1
1:Categorys=医药|:0.000462973461371429:0.000462973461371429:1
1:Categorys=参考|:0.0119360467586903:0.0119360467586903:1
1:Categorys=商业|:0.000156468279776946:0.000156468279776946:1
1:Categorys=商务|:0.000623029020854624:0.000623029020854624:1
1:Categorys=商品指南|:0.000344817138297874:0.000344817138297874:1
1:Categorys=图书|:0.0290170577293825:0.0290170577293825:1
1:Categorys=图书与工具书|:0.00254296684515090:0.00254296684515090:1
1:Categorys=天气|:0.000171236629165222:0.000171236629165222:1
1:Categorys=娱乐|:0.102889070259041:0.102889070259041:1
1:Categorys=媒体与视频|:0.00290993650753119:0.00290993650753119:1
1:Categorys=导航|:0.000320497001643955:0.000320497001643955:1
1:Categorys=工具|:0.0561148922320197:0.0561148922320197:1
1:Categorys=摄影|:0.0272284962828541:0.0272284962828541:1
1:Categorys=摄影与录像|:0.0129551724381058:0.0129551724381058:1
1:Categorys=效率|:0.00613976975476346:0.00613976975476346:1
1:Categorys=教育|:0.00531617225726503:0.00531617225726503:1
1:Categorys=新闻|:0.000198034037329433:0.000198034037329433:1
1:Categorys=新闻杂志|:0.000362305722363797:0.000362305722363797:1
1:Categorys=旅游与本地出行|:0.000148764918176675:0.000148764918176675:1
1:Categorys=旅行|:0.000568538575595560:0.000568538575595560:1
1:Categorys=游戏|:0.0599898974962217:0.0599898974962217:1
1:Categorys=生活|:0.00442751779871940:0.00442751779871940:1
1:Categorys=生活时尚|:0.00152389833353946:0.00152389833353946:1
1:Categorys=益智和解谜游戏|:0.0742421835890672:0.0742421835890672:1
1:Categorys=社交|:0.0115798103515267:0.0115798103515267:1
1:Categorys=纸牌游戏|:0.00117035357715148:0.00117035357715148:1
1:Categorys=美食佳饮|:0.0000300464450296310:0.0000300464450296310:1
1:Categorys=街机和动作游戏|:0.00453532674925382:0.00453532674925382:1
1:Categorys=财务|:0.000881699042382114:0.000881699042382114:1
1:Categorys=赛车游戏|:0.00537986671898156:0.00537986671898156:1
1:Categorys=通讯|:0.00288213389881184:0.00288213389881184:1
1:Categorys=音乐|:0.00957482589068868:0.00957482589068868:1
1:Categorys=音乐与音频|:0.000966617051364700:0.000966617051364700:1
