##OS
1:OS=Android|:0.307200:0.307200:1.000000
1:OS=iOS|:0.692800:0.692800:1.000000
##DeviceType
1:DeviceType=Pad|:0.225100:0.225100:1.000000
1:DeviceType=Phone|:0.774900:0.774900:1.000000
##Categorys
1:Categorys=个性化|:0.000300:0.000300:1.000000
1:Categorys=交通运输|:0.000300:0.000300:1.000000
1:Categorys=休闲游戏|:0.033200:0.033200:1.000000
1:Categorys=体育|:0.001300:0.001300:1.000000
1:Categorys=体育游戏|:0.000800:0.000800:1.000000
1:Categorys=健康与健身|:0.001500:0.001500:1.000000
1:Categorys=健康健美|:0.000400:0.000400:1.000000
1:Categorys=医疗|:0.000100:0.000100:1.000000
1:Categorys=参考|:0.011900:0.011900:1.000000
1:Categorys=商务|:0.000400:0.000400:1.000000
1:Categorys=商品指南|:0.000300:0.000300:1.000000
1:Categorys=图书|:0.035400:0.035400:1.000000
1:Categorys=图书与工具书|:0.001900:0.001900:1.000000
1:Categorys=天气|:0.000300:0.000300:1.000000
1:Categorys=娱乐|:0.098700:0.098700:1.000000
1:Categorys=媒体与视频|:0.003300:0.003300:1.000000
1:Categorys=导航|:0.000200:0.000200:1.000000
1:Categorys=工具|:0.050000:0.050000:1.000000
1:Categorys=摄影|:0.028500:0.028500:1.000000
1:Categorys=摄影与录像|:0.015400:0.015400:1.000000
1:Categorys=效率|:0.005100:0.005100:1.000000
1:Categorys=教育|:0.006500:0.006500:1.000000
1:Categorys=新闻|:0.000100:0.000100:1.000000
1:Categorys=新闻杂志|:0.000300:0.000300:1.000000
1:Categorys=旅游与本地出行|:0.000100:0.000100:1.000000
1:Categorys=旅行|:0.000400:0.000400:1.000000
1:Categorys=游戏|:0.072300:0.072300:1.000000
1:Categorys=生活|:0.003600:0.003600:1.000000
1:Categorys=生活时尚|:0.001200:0.001200:1.000000
1:Categorys=益智和解谜游戏|:0.072800:0.072800:1.000000
1:Categorys=社交|:0.010000:0.010000:1.000000
1:Categorys=纸牌游戏|:0.000900:0.000900:1.000000
1:Categorys=美食佳饮|:0.000400:0.000400:1.000000
1:Categorys=街机和动作游戏|:0.005600:0.005600:1.000000
1:Categorys=财务|:0.000100:0.000100:1.000000
1:Categorys=赛车游戏|:0.006000:0.006000:1.000000
1:Categorys=通讯|:0.002100:0.002100:1.000000
1:Categorys=音乐|:0.013300:0.013300:1.000000
1:Categorys=音乐与音频|:0.000900:0.000900:1.000000
